What is your current age?,What is your gender identity?,Which year of study are you currently in?,"Do you live on-campus (e.g., dormitory/hostel)?","On a typical weekday, how many hours do you spend on academic study (classes, homework, studying)?",I feel overwhelmed by my academic workload.,"How often do you participate in extracurricular activities (clubs, sports, volunteering)?",I am generally satisfied with my current academic performance.,Do you hold a part-time job while attending college?,How stressed have you felt over the past month?,I feel like I have a good handle on managing my stress.,How satisfied are you with your life right now?,How often do you feel anxious or worried about the future?,I feel comfortable seeking professional help (counseling/therapy) if I needed it.,Approximately how many close friends (people you confide in) do you have in college?,I feel a strong sense of belonging within the college community.,How often do you participate in social activities (not study-related) in a week?,I feel lonely often.,I have supportive family members I can rely on.,"On average, how many hours do you sleep per night?","I follow a healthy, balanced diet most of the time.","How often do you engage in vigorous physical exercise (e.g., running, gym, sports) per week?",How would you rate your general physical health?,Do you regularly consume energy drinks or excessive caffeine (4+ cups of coffee/day)?,I am worried about my current financial situation.,I feel prepared for my career or life after graduation.,Do you feel the college is adequately preparing you for your future career?,How confident are you about achieving your long-term goals?,I frequently worry about making large student loan payments or debt after college.,Do you regularly track your personal spending/budget?,Who do you feel closest to?,Are you a single child?,Are you currently in a relationship?,Do you feel you have achieved your dreams?,Are you currently employed?,How would you describe your personality?,Do you love yourself?,Do you care about what others think of you?,I often compare my life to others on social media.,"I feel comfortable saying ""no"" to people when I need to.",Do you have a clear set of goals for the next 5 years?,I generally have a positive outlook on life.,Are you in Relationship?,
23-25,Male,Third Year,Yes,4-6 hours,TRUE,Once a week,Disagree,No,Moderate,FALSE,Satisfied,Often,FALSE,0-1,Disagree,1-2 times,FALSE,Yes,7-8 hours,TRUE,1-2 days,Good,No,Moderately worried,Agree,Yes,Moderate,FALSE,Yes,Parents,No,,,,Ambivert (Neutral),,No,FALSE,TRUE,Yes,TRUE,,
20-22,Male,Third Year,Yes,4-6 hours,FALSE,Rarely/Never,Strongly Disagree,No,Low,TRUE,Dissatisfied,Often,FALSE,0-1,Agree,1-2 times,TRUE,Yes,5-6 hours,FALSE,0 days,Poor,No,Slightly worried,Agree,No,Moderate,FALSE,Yes,Parents,No,,,,Ambivert (Neutral),,No,FALSE,FALSE,Yes,TRUE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26+,Female,Third Year,Yes,4-6 hours,FALSE,Once a month,Strongly Disagree,Yes,Very Low,FALSE,Very Dissatisfied,Never/Rarely,FALSE,7+,Agree,1-2 times,FALSE,No,9+ hours,FALSE,5+ days,Fair,No,Slightly worried,Strongly Disagree,Yes,Moderate,FALSE,Yes,Guardian,Yes,,,,Introvert,,Yes,TRUE,TRUE,Yes,FALSE,,
26+,Male,Third Year,Yes,< 4 hours,FALSE,Once a month,Strongly Disagree,Yes,Low,FALSE,Satisfied,Often,FALSE,7+,Strongly Disagree,1-2 times,TRUE,Yes,9+ hours,TRUE,5+ days,Excellent,No,Not at all worried,Strongly Disagree,No,Moderate,FALSE,No,Parents,No,,,,Introvert,,Yes,FALSE,FALSE,Yes,FALSE,,
20-22,Female,Third Year,No,7-9 hours,FALSE,Once a month,Strongly Disagree,No,High,FALSE,Dissatisfied,Often,TRUE,7+,Strongly Disagree,1-2 times,TRUE,No,9+ hours,FALSE,3-4 days,Excellent,Yes,Slightly worried,Agree,Yes,Low,TRUE,Yes,Friend,No,,,,Extrovert,,Yes,FALSE,FALSE,No,FALSE,,
23-25,Female,Second Year,No,7-9 hours,TRUE,Once a month,Disagree,Yes,Very Low,FALSE,Very Satisfied,Sometimes,TRUE,0-1,Agree,0 times,TRUE,No,7-8 hours,FALSE,0 days,Fair,Yes,Very worried,Disagree,Yes,Low,TRUE,No,Guardian,No,,,,Introvert,,No,TRUE,TRUE,Yes,FALSE,,
20-22,Female,First Year,Yes,4-6 hours,TRUE,Once a month,Strongly Agree,Yes,Low,TRUE,Very Satisfied,Never/Rarely,FALSE,7+,Strongly Disagree,0 times,TRUE,Yes,5-6 hours,FALSE,0 days,Excellent,No,Slightly worried,Agree,Yes,High,FALSE,No,Parents,Yes,,,,Ambivert (Neutral),,No,TRUE,FALSE,Yes,TRUE,,
20-22,Male,Fourth Year/Above,No,7-9 hours,FALSE,Once a month,Strongly Disagree,No,Low,TRUE,Very Satisfied,Sometimes,FALSE,02-Mar,Strongly Agree,3-4 times,FALSE,Yes,7-8 hours,FALSE,1-2 days,Poor,No,Very worried,Disagree,Yes,Moderate,TRUE,No,Cousin,Yes,,,,Introvert,,No,FALSE,FALSE,Yes,TRUE,,
26+,Female,Fourth Year/Above,No,4-6 hours,TRUE,Once a week,Strongly Disagree,Yes,High,FALSE,Very Satisfied,Sometimes,TRUE,7+,Agree,1-2 times,FALSE,No,7-8 hours,FALSE,1-2 days,Good,Yes,Slightly worried,Agree,No,Very Low,TRUE,Yes,Guardian,Yes,,,,Ambivert (Neutral),,Yes,TRUE,TRUE,No,FALSE,,
26+,Male,Second Year,Yes,7-9 hours,TRUE,Once a week,Strongly Disagree,No,Moderate,TRUE,Very Satisfied,Often,FALSE,02-Mar,Disagree,0 times,FALSE,No,7-8 hours,TRUE,1-2 days,Excellent,No,Moderately worried,Strongly Disagree,No,Low,TRUE,No,Friend,Yes,,,,Introvert,,No,TRUE,TRUE,No,FALSE,,
26+,Female,Second Year,Yes,< 4 hours,FALSE,Multiple times a week,Strongly Disagree,No,Moderate,FALSE,Dissatisfied,Sometimes,FALSE,02-Mar,Agree,0 times,FALSE,No,9+ hours,TRUE,0 days,Poor,Yes,Very worried,Disagree,No,Low,TRUE,No,Parents,Yes,,,,Extrovert,,Yes,TRUE,TRUE,Yes,TRUE,,
23-25,Female,Third Year,Yes,10+ hours,TRUE,Once a week,Strongly Agree,Yes,Very Low,TRUE,Dissatisfied,Often,FALSE,04-Jun,Agree,5+ times,TRUE,No,7-8 hours,FALSE,1-2 days,Fair,Yes,Moderately worried,Disagree,Yes,Very Low,FALSE,No,Guardian,Yes,,,,Ambivert (Neutral),,Yes,FALSE,FALSE,No,FALSE,,
23-25,Female,First Year,Yes,< 4 hours,TRUE,Rarely/Never,Strongly Agree,No,Very Low,TRUE,Very Satisfied,Never/Rarely,FALSE,0-1,Strongly Disagree,1-2 times,FALSE,Yes,5-6 hours,FALSE,0 days,Good,No,Very worried,Strongly Agree,Yes,Very Low,TRUE,Yes,Cousin,Yes,,,,Introvert,,Yes,TRUE,FALSE,No,FALSE,,
23-25,Male,Second Year,No,7-9 hours,TRUE,Once a month,Strongly Agree,No,High,TRUE,Satisfied,Never/Rarely,TRUE,02-Mar,Agree,5+ times,TRUE,No,9+ hours,TRUE,3-4 days,Poor,Yes,Very worried,Strongly Agree,No,High,TRUE,No,Guardian,Yes,,,,Introvert,,No,FALSE,FALSE,No,TRUE,,
16-19,Female,Fourth Year/Above,Yes,4-6 hours,TRUE,Once a month,Agree,No,High,FALSE,Very Dissatisfied,Sometimes,FALSE,7+,Agree,0 times,FALSE,No,9+ hours,TRUE,1-2 days,Excellent,Yes,Very worried,Strongly Disagree,No,Moderate,TRUE,No,Guardian,No,,,,Extrovert,,Yes,FALSE,FALSE,No,FALSE,,
23-25,Female,Third Year,Yes,7-9 hours,FALSE,Rarely/Never,Disagree,No,Moderate,TRUE,Very Satisfied,Never/Rarely,TRUE,02-Mar,Agree,1-2 times,TRUE,Yes,7-8 hours,FALSE,5+ days,Excellent,No,Very worried,Strongly Disagree,Yes,High,TRUE,No,Friend,Yes,,,,Extrovert,,Yes,FALSE,TRUE,No,TRUE,,
20-22,Female,First Year,No,< 4 hours,FALSE,Multiple times a week,Disagree,Yes,Moderate,FALSE,Dissatisfied,Often,FALSE,7+,Disagree,3-4 times,FALSE,Yes,< 5 hours,FALSE,5+ days,Excellent,Yes,Not at all worried,Disagree,No,Low,TRUE,Yes,Friend,Yes,,,,Ambivert (Neutral),,Yes,TRUE,FALSE,Yes,TRUE,,
26+,Female,First Year,No,< 4 hours,TRUE,Once a month,Strongly Agree,Yes,Low,FALSE,Very Dissatisfied,Always/Most of the time,FALSE,04-Jun,Agree,1-2 times,FALSE,No,9+ hours,FALSE,0 days,Excellent,No,Very worried,Disagree,Yes,Very Low,TRUE,No,Guardian,No,,,,Introvert,,No,TRUE,FALSE,Yes,TRUE,,
23-25,Female,First Year,No,10+ hours,FALSE,Once a month,Strongly Agree,Yes,Low,FALSE,Satisfied,Never/Rarely,FALSE,0-1,Agree,5+ times,TRUE,Yes,9+ hours,TRUE,5+ days,Fair,No,Not at all worried,Strongly Agree,No,Very Low,FALSE,No,Parents,Yes,,,,Extrovert,,No,TRUE,TRUE,Yes,TRUE,,
23-25,Male,Third Year,No,7-9 hours,FALSE,Multiple times a week,Strongly Disagree,Yes,High,FALSE,Dissatisfied,Always/Most of the time,FALSE,02-Mar,Disagree,5+ times,FALSE,No,5-6 hours,FALSE,0 days,Fair,Yes,Not at all worried,Agree,Yes,Low,TRUE,Yes,Guardian,No,,,,Ambivert (Neutral),,No,FALSE,TRUE,Yes,FALSE,,
20-22,Female,Third Year,No,10+ hours,TRUE,Multiple times a week,Disagree,No,Very Low,FALSE,Dissatisfied,Always/Most of the time,FALSE,02-Mar,Disagree,0 times,FALSE,Yes,7-8 hours,FALSE,1-2 days,Good,Yes,Very worried,Agree,No,Very Low,TRUE,Yes,Cousin,Yes,,,,Ambivert (Neutral),,No,TRUE,FALSE,Yes,FALSE,,
20-22,Female,Second Year,No,10+ hours,FALSE,Once a month,Agree,Yes,High,FALSE,Satisfied,Always/Most of the time,TRUE,7+,Agree,1-2 times,TRUE,Yes,9+ hours,TRUE,5+ days,Good,Yes,Slightly worried,Agree,Yes,High,FALSE,No,Guardian,No,,,,Ambivert (Neutral),,No,FALSE,TRUE,No,TRUE,,
23-25,Female,Fourth Year/Above,No,10+ hours,TRUE,Once a month,Strongly Disagree,Yes,Low,TRUE,Very Dissatisfied,Always/Most of the time,TRUE,7+,Strongly Agree,0 times,TRUE,Yes,< 5 hours,TRUE,1-2 days,Excellent,Yes,Not at all worried,Strongly Agree,Yes,Very Low,TRUE,Yes,Parents,Yes,,,,Ambivert (Neutral),,Yes,FALSE,TRUE,No,TRUE,,
20-22,Male,Third Year,No,< 4 hours,TRUE,Once a week,Disagree,Yes,Very Low,TRUE,Satisfied,Never/Rarely,TRUE,0-1,Disagree,1-2 times,FALSE,Yes,9+ hours,FALSE,3-4 days,Excellent,Yes,Very worried,Agree,Yes,Moderate,TRUE,Yes,Cousin,Yes,,,,Ambivert (Neutral),,No,TRUE,TRUE,Yes,TRUE,,
26+,Male,Fourth Year/Above,No,10+ hours,FALSE,Rarely/Never,Disagree,Yes,High,TRUE,Dissatisfied,Sometimes,TRUE,7+,Disagree,5+ times,TRUE,No,9+ hours,TRUE,1-2 days,Poor,Yes,Slightly worried,Disagree,No,Moderate,FALSE,No,Parents,Yes,,,,Ambivert (Neutral),,No,TRUE,TRUE,No,FALSE,,
20-22,Male,Third Year,Yes,10+ hours,TRUE,Once a month,Strongly Disagree,Yes,Low,TRUE,Very Dissatisfied,Never/Rarely,FALSE,04-Jun,Disagree,0 times,FALSE,No,< 5 hours,TRUE,0 days,Excellent,Yes,Very worried,Agree,No,High,FALSE,No,Cousin,Yes,,,,Extrovert,,No,TRUE,FALSE,Yes,FALSE,,
26+,Female,First Year,Yes,< 4 hours,TRUE,Once a month,Disagree,No,High,FALSE,Very Dissatisfied,Often,TRUE,0-1,Disagree,3-4 times,FALSE,Yes,9+ hours,TRUE,1-2 days,Good,No,Moderately worried,Agree,Yes,High,TRUE,No,Friend,Yes,,,,Extrovert,,Yes,TRUE,FALSE,Yes,TRUE,,
20-22,Female,Second Year,Yes,7-9 hours,FALSE,Once a week,Disagree,No,Very Low,TRUE,Dissatisfied,Never/Rarely,FALSE,7+,Strongly Agree,0 times,TRUE,No,5-6 hours,FALSE,3-4 days,Excellent,Yes,Slightly worried,Agree,Yes,Moderate,FALSE,Yes,Cousin,No,,,,Introvert,,No,TRUE,FALSE,No,TRUE,,
26+,Male,First Year,Yes,4-6 hours,TRUE,Once a week,Strongly Agree,Yes,Low,TRUE,Dissatisfied,Always/Most of the time,FALSE,7+,Strongly Disagree,1-2 times,TRUE,Yes,9+ hours,TRUE,0 days,Good,No,Very worried,Strongly Agree,No,High,TRUE,Yes,Friend,No,,,,Ambivert (Neutral),,Yes,FALSE,TRUE,No,TRUE,,
26+,Female,Fourth Year/Above,Yes,10+ hours,FALSE,Multiple times a week,Disagree,No,High,TRUE,Satisfied,Always/Most of the time,TRUE,04-Jun,Strongly Agree,0 times,FALSE,No,7-8 hours,FALSE,0 days,Poor,No,Moderately worried,Strongly Disagree,Yes,Low,TRUE,No,Guardian,Yes,,,,Introvert,,No,TRUE,TRUE,Yes,FALSE,,
26+,Female,First Year,No,4-6 hours,TRUE,Multiple times a week,Agree,No,Moderate,TRUE,Very Dissatisfied,Often,FALSE,7+,Strongly Disagree,0 times,TRUE,No,7-8 hours,FALSE,0 days,Poor,Yes,Not at all worried,Strongly Disagree,No,Moderate,TRUE,No,Guardian,No,,,,Ambivert (Neutral),,Yes,TRUE,TRUE,Yes,FALSE,,
23-25,Male,First Year,No,4-6 hours,TRUE,Multiple times a week,Disagree,Yes,Low,TRUE,Very Satisfied,Often,TRUE,7+,Disagree,3-4 times,FALSE,No,9+ hours,TRUE,3-4 days,Good,No,Very worried,Strongly Disagree,Yes,High,FALSE,No,Guardian,No,,,,Ambivert (Neutral),,Yes,FALSE,TRUE,No,FALSE,,
23-25,Female,Third Year,No,10+ hours,FALSE,Once a month,Disagree,No,Very Low,TRUE,Very Satisfied,Always/Most of the time,TRUE,04-Jun,Agree,0 times,FALSE,Yes,5-6 hours,FALSE,1-2 days,Poor,No,Not at all worried,Strongly Agree,Yes,Moderate,FALSE,Yes,Cousin,Yes,,,,Ambivert (Neutral),,No,TRUE,TRUE,No,TRUE,,
23-25,Male,Fourth Year/Above,No,< 4 hours,FALSE,Multiple times a week,Agree,Yes,High,TRUE,Satisfied,Often,FALSE,7+,Strongly Agree,0 times,FALSE,Yes,7-8 hours,TRUE,5+ days,Good,No,Not at all worried,Disagree,Yes,Moderate,TRUE,Yes,Cousin,No,,,,Ambivert (Neutral),,No,TRUE,FALSE,Yes,TRUE,,
16-19,Female,Third Year,No,< 4 hours,TRUE,Once a week,Strongly Disagree,No,Very Low,TRUE,Very Satisfied,Never/Rarely,FALSE,02-Mar,Strongly Agree,5+ times,TRUE,No,5-6 hours,FALSE,3-4 days,Excellent,No,Slightly worried,Strongly Disagree,No,High,FALSE,No,Parents,No,,,,Ambivert (Neutral),,No,FALSE,TRUE,No,FALSE,,
26+,Female,First Year,Yes,< 4 hours,FALSE,Once a month,Strongly Disagree,No,Very Low,FALSE,Very Dissatisfied,Never/Rarely,FALSE,0-1,Disagree,1-2 times,FALSE,No,< 5 hours,FALSE,5+ days,Fair,Yes,Slightly worried,Strongly Agree,No,Low,TRUE,No,Cousin,No,,,,Introvert,,Yes,FALSE,FALSE,Yes,FALSE,,
23-25,Female,Second Year,Yes,10+ hours,FALSE,Multiple times a week,Disagree,Yes,High,FALSE,Very Satisfied,Sometimes,TRUE,7+,Disagree,0 times,TRUE,Yes,5-6 hours,FALSE,1-2 days,Good,No,Slightly worried,Disagree,Yes,Very Low,TRUE,No,Friend,No,,,,Introvert,,No,TRUE,FALSE,No,FALSE,,
16-19,Male,Fourth Year/Above,Yes,10+ hours,TRUE,Once a month,Strongly Disagree,No,Very Low,TRUE,Dissatisfied,Always/Most of the time,FALSE,7+,Disagree,5+ times,TRUE,No,5-6 hours,FALSE,0 days,Poor,No,Slightly worried,Agree,Yes,Moderate,FALSE,No,Cousin,No,,,,Ambivert (Neutral),,No,TRUE,FALSE,Yes,TRUE,,
26+,Male,First Year,No,< 4 hours,FALSE,Multiple times a week,Agree,No,High,FALSE,Very Satisfied,Never/Rarely,TRUE,0-1,Strongly Agree,5+ times,FALSE,Yes,5-6 hours,FALSE,1-2 days,Poor,Yes,Moderately worried,Strongly Disagree,No,Low,FALSE,No,Friend,No,,,,Extrovert,,Yes,FALSE,TRUE,Yes,TRUE,,
16-19,Male,Third Year,Yes,7-9 hours,FALSE,Rarely/Never,Disagree,No,High,FALSE,Very Dissatisfied,Never/Rarely,FALSE,0-1,Disagree,5+ times,TRUE,Yes,< 5 hours,TRUE,5+ days,Fair,Yes,Moderately worried,Strongly Agree,No,Low,TRUE,Yes,Cousin,No,,,,Ambivert (Neutral),,No,TRUE,TRUE,Yes,FALSE,,
26+,Female,First Year,No,4-6 hours,FALSE,Multiple times a week,Strongly Agree,No,Very Low,TRUE,Satisfied,Often,FALSE,7+,Strongly Disagree,1-2 times,FALSE,No,7-8 hours,TRUE,1-2 days,Fair,Yes,Moderately worried,Disagree,No,Very Low,TRUE,Yes,Parents,No,,,,Extrovert,,No,FALSE,TRUE,Yes,TRUE,,
20-22,Male,First Year,No,10+ hours,TRUE,Rarely/Never,Strongly Agree,No,High,TRUE,Very Dissatisfied,Never/Rarely,TRUE,04-Jun,Agree,1-2 times,FALSE,No,< 5 hours,TRUE,0 days,Fair,Yes,Very worried,Agree,Yes,High,FALSE,Yes,Cousin,No,,,,Ambivert (Neutral),,No,TRUE,FALSE,Yes,TRUE,,
16-19,Male,Fourth Year/Above,Yes,7-9 hours,TRUE,Once a month,Agree,No,Moderate,TRUE,Satisfied,Never/Rarely,FALSE,7+,Disagree,5+ times,FALSE,No,7-8 hours,TRUE,0 days,Excellent,Yes,Very worried,Strongly Agree,No,Moderate,FALSE,No,Friend,Yes,,,,Introvert,,No,TRUE,FALSE,No,TRUE,,
20-22,Female,Second Year,Yes,10+ hours,FALSE,Once a week,Disagree,No,Very Low,FALSE,Satisfied,Never/Rarely,TRUE,0-1,Strongly Agree,0 times,TRUE,No,< 5 hours,TRUE,0 days,Poor,Yes,Very worried,Strongly Disagree,No,Very Low,TRUE,Yes,Guardian,No,,,,Introvert,,Yes,FALSE,TRUE,No,FALSE,,
23-25,Female,Second Year,Yes,< 4 hours,TRUE,Multiple times a week,Disagree,Yes,Low,TRUE,Dissatisfied,Sometimes,TRUE,0-1,Strongly Agree,3-4 times,FALSE,No,< 5 hours,FALSE,0 days,Good,No,Moderately worried,Disagree,Yes,Very Low,TRUE,Yes,Guardian,Yes,,,,Ambivert (Neutral),,Yes,FALSE,FALSE,Yes,TRUE,,
23-25,Male,Third Year,No,7-9 hours,FALSE,Once a week,Agree,No,Moderate,TRUE,Dissatisfied,Sometimes,TRUE,0-1,Agree,0 times,FALSE,No,< 5 hours,FALSE,1-2 days,Good,No,Very worried,Strongly Disagree,Yes,Low,FALSE,No,Friend,No,,,,Extrovert,,Yes,TRUE,FALSE,No,FALSE,,
23-25,Female,First Year,Yes,< 4 hours,TRUE,Once a month,Strongly Agree,No,Low,TRUE,Very Satisfied,Never/Rarely,FALSE,04-Jun,Disagree,5+ times,FALSE,Yes,5-6 hours,TRUE,0 days,Excellent,No,Slightly worried,Strongly Agree,Yes,Very Low,TRUE,Yes,Cousin,Yes,,,,Ambivert (Neutral),,No,FALSE,FALSE,No,FALSE,,
23-25,Female,First Year,Yes,7-9 hours,FALSE,Rarely/Never,Strongly Agree,Yes,High,FALSE,Satisfied,Always/Most of the time,FALSE,0-1,Disagree,5+ times,FALSE,Yes,7-8 hours,TRUE,5+ days,Excellent,Yes,Not at all worried,Strongly Disagree,Yes,Very Low,FALSE,No,Parents,No,,,,Ambivert (Neutral),,No,FALSE,FALSE,No,FALSE,,
26+,Prefer not to say,Third Year,No,10+ hours,TRUE,Once a week,Disagree,Yes,High,TRUE,Satisfied,Always/Most of the time,FALSE,7+,Disagree,3-4 times,FALSE,Yes,7-8 hours,FALSE,1-2 days,Poor,No,Not at all worried,Agree,No,Very Low,FALSE,No,Friend,No,,,,Introvert,,Yes,FALSE,FALSE,Yes,TRUE,,
23-25,Female,First Year,No,4-6 hours,FALSE,Once a week,Strongly Disagree,No,High,FALSE,Satisfied,Often,FALSE,0-1,Strongly Agree,5+ times,FALSE,Yes,< 5 hours,FALSE,1-2 days,Fair,Yes,Moderately worried,Strongly Agree,No,Low,FALSE,No,Cousin,No,,,,Ambivert (Neutral),,No,TRUE,FALSE,Yes,FALSE,,
23-25,Female,Second Year,Yes,7-9 hours,FALSE,Multiple times a week,Strongly Disagree,No,Moderate,FALSE,Satisfied,Often,FALSE,02-Mar,Strongly Agree,3-4 times,TRUE,No,< 5 hours,FALSE,5+ days,Poor,No,Not at all worried,Strongly Disagree,No,High,FALSE,Yes,Cousin,Yes,,,,Ambivert (Neutral),,Yes,FALSE,FALSE,No,FALSE,,
20-22,Male,Third Year,No,10+ hours,FALSE,Once a week,Strongly Disagree,No,High,FALSE,Very Satisfied,Never/Rarely,TRUE,0-1,Disagree,3-4 times,TRUE,No,5-6 hours,FALSE,3-4 days,Poor,Yes,Very worried,Agree,No,Very Low,FALSE,No,Parents,Yes,,,,Ambivert (Neutral),,Yes,FALSE,FALSE,No,FALSE,,
20-22,Female,Second Year,No,< 4 hours,TRUE,Once a month,Strongly Agree,Yes,High,TRUE,Dissatisfied,Always/Most of the time,TRUE,04-Jun,Strongly Disagree,1-2 times,FALSE,Yes,7-8 hours,TRUE,1-2 days,Excellent,Yes,Not at all worried,Strongly Disagree,Yes,Low,TRUE,Yes,Parents,Yes,,,,Extrovert,,No,TRUE,FALSE,No,TRUE,,
20-22,Female,First Year,Yes,7-9 hours,FALSE,Multiple times a week,Strongly Agree,Yes,High,FALSE,Very Satisfied,Sometimes,TRUE,7+,Strongly Disagree,3-4 times,FALSE,Yes,< 5 hours,TRUE,5+ days,Excellent,No,Very worried,Disagree,No,Low,TRUE,Yes,Parents,Yes,,,,Extrovert,,No,TRUE,FALSE,Yes,TRUE,,
23-25,Male,Fourth Year/Above,Yes,10+ hours,FALSE,Multiple times a week,Disagree,No,Low,TRUE,Very Dissatisfied,Never/Rarely,FALSE,7+,Disagree,5+ times,TRUE,No,9+ hours,TRUE,1-2 days,Fair,Yes,Not at all worried,Strongly Disagree,No,Low,TRUE,No,Friend,Yes,,,,Introvert,,Yes,FALSE,TRUE,No,TRUE,,
26+,Female,Third Year,No,4-6 hours,TRUE,Multiple times a week,Strongly Disagree,Yes,Low,FALSE,Very Satisfied,Sometimes,FALSE,04-Jun,Agree,5+ times,TRUE,Yes,9+ hours,FALSE,5+ days,Good,No,Not at all worried,Strongly Agree,Yes,Very Low,TRUE,No,Cousin,No,,,,Ambivert (Neutral),,Yes,FALSE,TRUE,No,TRUE,,
